epoch,accuracy,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.7489811778068542,0.374350368976593,0.905035138130188,0.4267411231994629,1.9688515663146973,0.6047963500022888
1,0.8840322494506836,0.162069633603096,0.9712877869606018,0.5708771347999573,0.9917204976081848,0.8420663475990295
2,0.9509316086769104,0.06532583385705948,0.9934917688369751,0.7289750576019287,0.5246404409408569,0.9300262928009033
3,0.9743673801422119,0.034131117165088654,0.9980290532112122,0.7621550559997559,0.4770302176475525,0.967312753200531
4,0.9853102564811707,0.020031820982694626,0.9990042448043823,0.8033837080001831,0.43628209829330444,0.9715012907981873
5,0.989827036857605,0.013082279823720455,0.9994251132011414,0.8720433712005615,0.2436285763978958,0.9782359004020691
6,0.9927937388420105,0.008943320252001286,0.9997125864028931,0.8978317975997925,0.21848584711551666,0.9894053936004639
7,0.9953600764274597,0.005421996582299471,0.9998767971992493,0.9043200016021729,0.21747903525829315,0.9886662364006042
8,0.9963763356208801,0.004228202160447836,0.9998767971992493,0.9350361227989197,0.13630706071853638,0.9926084280014038
9,0.9970025420188904,0.0030571601819247007,0.9998973608016968,0.9554041028022766,0.11615382879972458,0.9949901700019836
10,0.9972180724143982,0.0026574672665446997,0.9998665452003479,0.9588534832000732,0.11064709722995758,0.9935118556022644
11,0.9972591400146484,0.0025227072183042765,0.9998767971992493,0.9547470211982727,0.11803518235683441,0.9943330883979797
12,0.9971462488174438,0.0025290236808359623,0.9999281167984009,0.9582785964012146,0.10403268039226532,0.9944973587989807
13,0.9973515272140503,0.0022948116529732943,0.9998871088027954,0.9654237627983093,0.09841638058423996,0.9941688776016235
14,0.9972180724143982,0.0023200230207294226,0.9998767971992493,0.9595105051994324,0.11079227179288864,0.9937582015991211
