epoch,accuracy,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.7455797791481018,0.31497037410736084,0.9037895202636719,0.45940616726875305,1.9655107259750366,0.6247397661209106
1,0.8345316648483276,0.20203323662281036,0.9511072635650635,0.545633852481842,1.5410521030426025,0.7042840123176575
2,0.9059944748878479,0.11575695872306824,0.9792103171348572,0.573025107383728,1.181834101676941,0.7855812311172485
3,0.9511072635650635,0.06113056838512421,0.9926866292953491,0.6372302174568176,1.0010417699813843,0.8483620285987854
4,0.9709245562553406,0.036151330918073654,0.9975074529647827,0.6505971550941467,0.9063851237297058,0.8953654170036316
5,0.9817577004432678,0.022794092074036598,0.9986167550086975,0.739125669002533,0.6146454811096191,0.9271392822265625
6,0.9861813187599182,0.016480375081300735,0.9992193579673767,0.7417552471160889,0.6796993017196655,0.9336035847663879
7,0.9905638694763184,0.011536485515534878,0.9996576309204102,0.7911690473556519,0.5682471394538879,0.9628574848175049
8,0.9932070374488831,0.00864835549145937,0.9996576309204102,0.8113290071487427,0.6053916811943054,0.9577078819274902
9,0.9952065944671631,0.006361554376780987,0.9998082518577576,0.8536211252212524,0.43592777848243713,0.9693217873573303
10,0.9966446161270142,0.004638682119548321,0.9998082518577576,0.8558124303817749,0.44449058175086975,0.9677878618240356
11,0.9968774318695068,0.0036779893562197685,0.9999452233314514,0.8676454424858093,0.4888363480567932,0.9671304821968079
12,0.9975758790969849,0.003105789888650179,0.9999315142631531,0.9032540917396545,0.34986215829849243,0.977867841720581
13,0.9981374144554138,0.002073123352602124,0.9999041557312012,0.9103758335113525,0.367292195558548,0.9783061146736145
14,0.9984250068664551,0.0018159373430535197,0.9999315142631531,0.9156349301338196,0.34421560168266296,0.9795113205909729
